package;classname;sync-block;sync-method;time-constraint;sum;
com.aelitis.azureus.activities;VuzeActivitiesConstants;0;0;0;0;
com.aelitis.azureus.activities;VuzeActivitiesEntry;0;0;1;1;
com.aelitis.azureus.activities;VuzeActivitiesListener;0;0;0;0;
com.aelitis.azureus.activities;VuzeActivitiesLoadedListener;0;0;0;0;
com.aelitis.azureus.activities;VuzeActivitiesManager;3;0;2;5;
com.aelitis.azureus.core;AzureusCore;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreComponent;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreException;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreFactory;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreLifecycleAdapter;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreLifecycleListener;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreListener;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreOperation;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreOperationListener;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreOperationTask;0;0;0;0;
com.aelitis.azureus.core;AzureusCoreRunningListener;0;0;0;0;
com.aelitis.azureus.core.backup;BackupManager;0;0;0;0;
com.aelitis.azureus.core.backup.BackupManager;BackupListener;0;0;0;0;
com.aelitis.azureus.core.backup;BackupManagerFactory;0;0;0;0;
com.aelitis.azureus.core.backup.impl;BackupManagerImpl;4;1;4;9;
com.aelitis.azureus.core.clientmessageservice;ClientMessageService;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice;ClientMessageServiceClient;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.impl;AEClientService;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.impl;ClientConnection;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.impl;ClientMessage;2;0;0;2;
com.aelitis.azureus.core.clientmessageservice.impl;ClientMessageHandler;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.impl;NonBlockingReadWriteService;0;0;3;3;
com.aelitis.azureus.core.clientmessageservice.impl.NonBlockingReadWriteService;ServiceListener;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.secure.impl;SecureMessageServiceClientHelper;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.secure.impl;SecureMessageServiceClientImpl;0;0;1;1;
com.aelitis.azureus.core.clientmessageservice.secure.impl;SecureMessageServiceClientMessageImpl;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.secure;SecureMessageServiceClient;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.secure;SecureMessageServiceClientAdapter;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.secure;SecureMessageServiceClientFactory;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.secure;SecureMessageServiceClientListener;0;0;0;0;
com.aelitis.azureus.core.clientmessageservice.secure;SecureMessageServiceClientMessage;0;0;0;0;
com.aelitis.azureus.core.cnetwork;ContentNetwork;0;0;0;0;
com.aelitis.azureus.core.cnetwork;ContentNetworkException;0;0;0;0;
com.aelitis.azureus.core.cnetwork;ContentNetworkListener;0;0;0;0;
com.aelitis.azureus.core.cnetwork;ContentNetworkManager;0;0;0;0;
com.aelitis.azureus.core.cnetwork;ContentNetworkManagerFactory;0;0;0;0;
com.aelitis.azureus.core.cnetwork;ContentNetworkPropertyChangeListener;0;0;0;0;
com.aelitis.azureus.core.cnetwork.impl;ContentNetworkImpl;3;0;0;3;
com.aelitis.azureus.core.cnetwork.impl;ContentNetworkManagerImpl;5;0;0;5;
com.aelitis.azureus.core.cnetwork.impl;ContentNetworkVuze;0;0;0;0;
com.aelitis.azureus.core.cnetwork.impl;ContentNetworkVuzeGeneric;0;0;0;0;
com.aelitis.azureus.core.content;AzureusContent;0;0;0;0;
com.aelitis.azureus.core.content;AzureusContentDirectory;0;0;0;0;
com.aelitis.azureus.core.content;AzureusContentDirectoryListener;0;0;0;0;
com.aelitis.azureus.core.content;AzureusContentDirectoryManager;2;0;0;2;
com.aelitis.azureus.core.content;AzureusContentDownload;0;0;0;0;
com.aelitis.azureus.core.content;AzureusContentFile;0;0;0;0;
com.aelitis.azureus.core.content;AzureusContentFilter;0;0;0;0;
com.aelitis.azureus.core.content;AzureusPlatformContentDirectory;0;1;0;1;
com.aelitis.azureus.core.content.AzureusPlatformContentDirectory;AzureusPlatformContent;0;0;0;0;
com.aelitis.azureus.core.content;ContentException;0;0;0;0;
com.aelitis.azureus.core.content;RelatedAttributeLookupListener;0;0;0;0;
com.aelitis.azureus.core.content;RelatedContent;0;0;0;0;
com.aelitis.azureus.core.content;RelatedContentLookupListener;0;0;0;0;
com.aelitis.azureus.core.content;RelatedContentManager;0;2;0;2;
com.aelitis.azureus.core.content.RelatedContentManager;ByteArrayHashMapEx;0;0;0;0;
com.aelitis.azureus.core.content.RelatedContentManager;DownloadInfo;3;0;0;3;
com.aelitis.azureus.core.content.RelatedContentManager;RCMSearchXFer;0;0;0;0;
com.aelitis.azureus.core.content.RelatedContentManager;ContentCache;0;0;0;0;
com.aelitis.azureus.core.content.RelatedContentManager;SecondaryLookup;0;0;0;0;
com.aelitis.azureus.core.content;RelatedContentManagerListener;0;0;0;0;
com.aelitis.azureus.core.content;RelatedContentSearcher;22;0;7;29;
com.aelitis.azureus.core.content.RelatedContentSearcher;MySearchObserver;0;0;0;0;
com.aelitis.azureus.core.content.RelatedContentSearcher;ForeignBloom;0;0;0;0;
com.aelitis.azureus.core.crypto;VuzeCryptoException;0;0;0;0;
com.aelitis.azureus.core.crypto;VuzeCryptoListener;0;0;0;0;
com.aelitis.azureus.core.crypto;VuzeCryptoManager;0;1;0;1;
com.aelitis.azureus.core.custom;Customization;0;0;0;0;
com.aelitis.azureus.core.custom;CustomizationException;0;0;0;0;
com.aelitis.azureus.core.custom;CustomizationManager;0;0;0;0;
com.aelitis.azureus.core.custom;CustomizationManagerFactory;0;0;0;0;
com.aelitis.azureus.core.custom.impl;CustomizationImpl;0;0;0;0;
com.aelitis.azureus.core.custom.impl;CustomizationManagerImpl;5;0;0;5;
com.aelitis.azureus.core.devices;Device;0;0;0;0;
com.aelitis.azureus.core.devices.Device;browseLocation;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceContentDirectory;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceInternetGateway;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceListener;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceManager;0;0;0;0;
com.aelitis.azureus.core.devices.DeviceManager;UnassociatedDevice;0;0;0;0;
com.aelitis.azureus.core.devices.DeviceManager;DeviceManufacturer;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceManagerDiscoveryListener;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceManagerException;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceManagerFactory;1;0;0;1;
com.aelitis.azureus.core.devices;DeviceManagerListener;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceMediaRenderer;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceMediaRendererTemplate;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceOfflineDownload;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceOfflineDownloader;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceOfflineDownloaderListener;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceOfflineDownloaderManager;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceSearchListener;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceTemplate;0;0;0;0;
com.aelitis.azureus.core.devices;DeviceUPnP;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceContentDirectoryImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceDriveManager;3;0;0;3;
com.aelitis.azureus.core.devices.impl;DeviceImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl.DeviceImpl;browseLocationImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceInternetGatewayImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl.DeviceInternetGatewayImpl;mapping;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceiTunes;5;0;1;6;
com.aelitis.azureus.core.devices.impl;DeviceiTunesManager;2;0;0;2;
com.aelitis.azureus.core.devices.impl;DeviceManagerImpl;3;0;0;3;
com.aelitis.azureus.core.devices.impl.DeviceManagerImpl;DeviceManufacturerImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceManagerRSSFeed;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceManagerUPnPImpl;9;0;0;9;
com.aelitis.azureus.core.devices.impl;DeviceMediaRendererImpl;4;0;0;4;
com.aelitis.azureus.core.devices.impl;DeviceMediaRendererManual;6;0;0;6;
com.aelitis.azureus.core.devices.impl;DeviceMediaRendererTemplateImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceOfflineDownloaderImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl.DeviceOfflineDownloaderImpl;OfflineDownload;0;0;0;0;
com.aelitis.azureus.core.devices.impl.DeviceOfflineDownloaderImpl;TransferableDownload;0;0;1;1;
com.aelitis.azureus.core.devices.impl;DeviceTivo;1;0;1;2;
com.aelitis.azureus.core.devices.impl.DeviceTivo;ItemInfo;0;0;0;0;
com.aelitis.azureus.core.devices.impl.DeviceTivo;ContainerInfo;0;0;0;0;
com.aelitis.azureus.core.devices.impl.DeviceTivo;FileInfo;0;0;0;0;
com.aelitis.azureus.core.devices.impl;DeviceTivoManager;1;0;0;1;
com.aelitis.azureus.core.devices.impl.DeviceTivoManager;Searcher;2;0;1;3;
com.aelitis.azureus.core.devices.impl;DeviceUPnPImpl;22;0;0;22;
com.aelitis.azureus.core.devices.impl.DeviceUPnPImpl;StreamWrapper;0;0;2;2;
com.aelitis.azureus.core.devices.impl;TranscodeFileImpl;3;0;0;3;
com.aelitis.azureus.core.devices.impl;TranscodeJobImpl;19;0;2;21;
com.aelitis.azureus.core.devices.impl;TranscodeJobOutputLeecher;0;0;0;0;
com.aelitis.azureus.core.devices.impl.TranscodeJobOutputLeecher;Channel;2;0;1;3;
com.aelitis.azureus.core.devices.impl.TranscodeJobOutputLeecher.Channel;request;0;0;0;0;
com.aelitis.azureus.core.devices.impl.TranscodeJobOutputLeecher.Channel.request;event;0;0;0;0;
com.aelitis.azureus.core.devices.impl;TranscodeManagerImpl;8;0;0;8;
com.aelitis.azureus.core.devices.impl;TranscodePipe;5;0;5;10;
com.aelitis.azureus.core.devices.impl.TranscodePipe;bufferCache;0;0;0;0;
com.aelitis.azureus.core.devices.impl.TranscodePipe;errorListener;0;0;0;0;
com.aelitis.azureus.core.devices.impl;TranscodePipeFileSource;5;0;0;5;
com.aelitis.azureus.core.devices.impl;TranscodePipeStreamSource;3;0;0;3;
com.aelitis.azureus.core.devices.impl;TranscodePipeStreamSource2;2;0;0;2;
com.aelitis.azureus.core.devices.impl.TranscodePipeStreamSource2;streamListener;0;0;0;0;
com.aelitis.azureus.core.devices.impl;TranscodeProfileImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl;TranscodeProviderVuze;3;0;7;10;
com.aelitis.azureus.core.devices.impl.TranscodeProviderVuze;TranscodeProviderAnalysisImpl;0;0;0;0;
com.aelitis.azureus.core.devices.impl;TranscodeQueueImpl;18;0;0;18;
com.aelitis.azureus.core.devices;TranscodeActionVetoException;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeAnalysisListener;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeException;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeFile;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeJob;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeManager;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeManagerListener;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeProfile;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeProvider;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeProviderAdapter;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeProviderAnalysis;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeProviderJob;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeQueue;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeQueueActionListener;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeQueueListener;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeTarget;0;0;0;0;
com.aelitis.azureus.core.devices;TranscodeTargetListener;0;0;0;0;
com.aelitis.azureus.core.dht.control;DHTControl;0;0;0;0;
com.aelitis.azureus.core.dht.control;DHTControlActivity;0;0;0;0;
com.aelitis.azureus.core.dht.control.DHTControlActivity;ActivityState;0;0;0;0;
com.aelitis.azureus.core.dht.control.DHTControlActivity;ActivityNode;0;0;0;0;
com.aelitis.azureus.core.dht.control;DHTControlAdapter;0;0;0;0;
com.aelitis.azureus.core.dht.control;DHTControlContact;0;0;0;0;
com.aelitis.azureus.core.dht.control;DHTControlFactory;0;0;0;0;
com.aelitis.azureus.core.dht.control;DHTControlListener;0;0;0;0;
com.aelitis.azureus.core.dht.control;DHTControlStats;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl;DHTControlContactImpl;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl;DHTControlImpl;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;ASImpl;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;ANImpl;0;0;6;6;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;sortedTransportContactSet;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;DHTOperationListenerDemuxer;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;lookupResultHandler;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;DHTTransportFindValueReplyImpl;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;anonValue;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;anonContact;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;DHTTransportStoreReplyImpl;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;DhtTask;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;DhtTaskSet;4;0;0;4;
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;controlActivity;0;0;0;0;
com.aelitis.azureus.core.dht.control.impl;DHTControlStatsImpl;0;0;0;0;
com.aelitis.azureus.core.dht.db;DHTDB;0;0;0;0;
com.aelitis.azureus.core.dht.db;DHTDBFactory;0;0;0;0;
com.aelitis.azureus.core.dht.db;DHTDBLookupResult;0;0;0;0;
com.aelitis.azureus.core.dht.db;DHTDBStats;0;0;0;0;
com.aelitis.azureus.core.dht.db;DHTDBValue;0;0;0;0;
com.aelitis.azureus.core.dht.db.impl;DHTDBImpl;0;0;0;0;
com.aelitis.azureus.core.dht.db.impl.DHTDBImpl;adapterFacade;0;0;0;0;
com.aelitis.azureus.core.dht.db.impl.DHTDBImpl;SurveyContactState;0;0;1;1;
com.aelitis.azureus.core.dht.db.impl;DHTDBMapping;0;0;0;0;
com.aelitis.azureus.core.dht.db.impl.DHTDBMapping;valueIterator;0;0;0;0;
com.aelitis.azureus.core.dht.db.impl.DHTDBMapping;ShortHash;0;0;0;0;
com.aelitis.azureus.core.dht.db.impl;DHTDBValueImpl;0;0;1;1;
com.aelitis.azureus.core.dht;DHT;0;0;0;0;
com.aelitis.azureus.core.dht;DHTFactory;0;0;0;0;
com.aelitis.azureus.core.dht;DHTListener;0;0;0;0;
com.aelitis.azureus.core.dht;DHTLogger;0;0;0;0;
com.aelitis.azureus.core.dht;DHTOperationAdapter;0;0;0;0;
com.aelitis.azureus.core.dht;DHTOperationListener;0;0;0;0;
com.aelitis.azureus.core.dht;DHTStorageAdapter;0;0;0;0;
com.aelitis.azureus.core.dht;DHTStorageBlock;0;0;0;0;
com.aelitis.azureus.core.dht;DHTStorageKey;0;0;0;0;
com.aelitis.azureus.core.dht;DHTStorageKeyStats;0;0;0;0;
com.aelitis.azureus.core.dht.impl;DHTImpl;1;0;0;1;
com.aelitis.azureus.core.dht.impl;DHTLog;0;0;0;0;
com.aelitis.azureus.core.dht.nat;DHTNATPuncher;0;0;0;0;
com.aelitis.azureus.core.dht.nat;DHTNATPuncherAdapter;0;0;0;0;
com.aelitis.azureus.core.dht.nat;DHTNATPuncherFactory;0;0;0;0;
com.aelitis.azureus.core.dht.nat;DHTNATPuncherListener;0;0;0;0;
com.aelitis.azureus.core.dht.nat.impl;DHTNATPuncherImpl;0;0;0;0;
com.aelitis.azureus.core.dht.nat.impl.DHTNATPuncherImpl;BindingData;0;0;1;1;
com.aelitis.azureus.core.dht.netcoords;DHTNetworkPosition;0;0;0;0;
com.aelitis.azureus.core.dht.netcoords;DHTNetworkPositionListener;0;0;0;0;
com.aelitis.azureus.core.dht.netcoords;DHTNetworkPositionManager;7;0;0;7;
com.aelitis.azureus.core.dht.netcoords;DHTNetworkPositionProvider;0;0;0;0;
