Class;Name;Signature;Time Par
java.net.Socket;connect;SocketAddress,int;1,Duration
javax.net.ssl.SSLSocket;connect;SocketAddress,int;1,Duration
java.lang.Thread;join;long;0,Duration
java.lang.Thread;join;long,int;0,Duration,1,Duration
java.lang.Thread;sleep;long;0,Duration
java.lang.Thread;sleep;long,int;0,Duration,1,Duration
java.lang.Process;waitFor;long,TimeUnit;0,Duration
java.util.Timer;schedule;TimerTask,long;1,Duration
java.util.Timer;schedule;TimerTask,long,long;1,Duration
java.util.Timer;scheduleAtFixedRate;TimerTast,Date,long;1,Duration
java.util.Timer;scheduleAtFixedRate;TimerTask,long,long;1,Duration
java.util.concurrent.TimeUnit;convert;long,TimeUnit;0,Duration
java.util.concurrent.TimeUnit;sleep;long;0,Duration
java.util.concurrent.TimeUnit;timedJoin;Thread,long;0,Duration
java.util.concurrent.TimeUnit;timedJoin;Object,long;1,Duration
java.util.concurrent.TimeUnit;timedWait;Object,long;1,Duration
java.util.concurrent.Future;get;long,TimeUnit;0,Duration
java.util.concurrent.FutureTask;get;long,TimeUnit;0,Duration
java.util.concurrent.ExecutorService;awaitTermination;long,TimeUnit;0,Duration
java.util.concurrent.ForkJoinPool;awaitQuiescence;long,TimeUnit;0,Duration
java.util.concurrent.ForkJoinPool;awaitTermination;long,TimeUnit;0,Duration
java.util.concurrent.ScheduledThreadPoolExecutor;awaitTermination;long,TimeUnit;0,Duration
java.util.concurrent.ScheduledThreadPoolExecutor;schedule;Callable,long,TimeUnit;1,Duration
java.util.concurrent.ScheduledThreadPoolExecutor;schedule;Runnable,long,TimeUnit;1,Duration
java.util.concurrent.ScheduledThreadPoolExecutor;scheduleAtFixedRate;Runnable,long,long,TimeUnit;1,Duration,2,Duration
java.util.concurrent.ScheduledThreadPoolExecutor;scheduleWithFixedDelay;Runnable,long,long,TimeUnit;1,Duration,2,Duration
java.util.concurrent.ThreadPoolExecutor;awaitTermination;long,TimeUnit;0,Duration
java.util.concurrent.ThreadPoolExecutor;setKeepAliveTime;long,TimeUnit;0,Duration
java.lang.Object;wait;long;0,Duration
java.lang.Object;wait;long,int;0,Duration,1,Duration
java.util.concurrent.CountDownLatch;await;long,TimeUnit;0,Duration
java.util.concurrent.Exchanger;exchange;V,long,TimeUnit;1,Duration
