Class;Name;Signature;Ret Type
java.io.File;lastModified;;long
java.lang.System;currentTimeMillis;;long
java.lang.System;nanoTime;;long
java.time.Clock;millis;;long
java.time.Duration;get;TemporalUnit;long
java.time.Duration;getNano;;int
java.time.Duration;getSeconds;;long
java.time.Instant;get;TemporalField;int
java.time.Instant;getEpochSecond;;long
java.time.Instant;getLong;TemporalField;long
java.time.Instant;getNano;;int
java.time.Instant;toEpochMilli;;long
java.time.LocalDate;getLong;TemporalField;long
java.time.LocalDate;toEpochDay;;long
java.time.LocalDateTime;get;TemporalField;int
java.time.LocalDateTime;getLong;TemporalField;long
java.time.LocalTime;get;TemporalField;int
java.time.LocalTime;getLong;TemporalField;long
java.time.LocalTime;toNanoOfDay;;long
java.time.LocalTime;toSecondOfDay;;int
java.time.MonthDay;get;TemporalField;int
java.time.MonthDay;getLong;TemporalField;long
java.time.OffsetDateTime;get;TemporalField;int
java.time.OffsetDateTime;getLong;TemporalField;long
java.time.OffsetDateTime;toEpochSecond;;long
java.time.OffsetTime;get;TemporalField;int
java.time.OffsetTime;getLong;TemporalField;long
java.time.Year;get;TemporalField;int
java.time.Year;getLong;TemporalField;long
java.time.YearMonth;get;TemporalField;int
java.time.YearMonth;getLong;TemporalField;long
java.time.ZonedDateTime;get;TemporalField;int
java.time.ZonedDateTime;getLong;TemporalField;long
java.net.URLConnection;getExpiration;;long
java.net.URLConnection;getLastModified;;long
java.util.Date;getTime;;long
java.util.Calendar;getTimeInMillis;;long
java.sql.Timestamp;getNanos;;long
java.sql.Timestamp;getTime;;long
